dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.010-ps0.0015-w6000000.0,19000,4188.8085,347.9627,3840.8458,22136.6436,2835.2117,19301.4318,0.0000,0.0000,0.0000,4.2847,7.1480,4.0253,0.3035,28.0652,36.5843,0.1561,0.1095
tamaraw-pc0.010-ps0.0020-w2000000.0,19000,4188.8085,347.9627,3840.8458,15152.3890,2518.3942,12633.9948,0.0000,0.0000,0.0000,2.6174,6.2375,2.2894,0.3640,28.0652,38.2814,0.3732,0.2058
tamaraw-pc0.010-ps0.0020-w4000000.0,19000,4188.8085,347.9627,3840.8458,17032.8581,2791.8577,14241.0004,0.0000,0.0000,0.0000,3.0663,7.0234,2.7078,0.4253,28.0652,40.0024,0.3182,0.1739
tamaraw-pc0.010-ps0.0020-w6000000.0,19000,4188.8085,347.9627,3840.8458,18335.0089,2995.6590,15339.3499,0.0000,0.0000,0.0000,3.3771,7.6091,2.9937,0.4552,28.0652,40.8417,0.1068,0.1426
tamaraw-pc0.010-ps0.0025-w2000000.0,19000,4188.8085,347.9627,3840.8458,13261.3637,2584.2843,10677.0794,0.0000,0.0000,0.0000,2.1659,6.4269,1.7799,0.4518,28.0652,40.7456,0.3687,0.2184
tamaraw-pc0.010-ps0.0025-w4000000.0,19000,4188.8085,347.9627,3840.8458,14890.7508,2893.7869,11996.9639,0.0000,0.0000,0.0000,2.5549,7.3164,2.1235,0.5603,28.0652,43.7895,0.2966,0.1771
tamaraw-pc0.010-ps0.0025-w6000000.0,19000,4188.8085,347.9627,3840.8458,16065.9483,3127.6280,12938.3203,0.0000,0.0000,0.0000,2.8354,7.9884,2.3686,0.6185,28.0652,45.4227,0.2695,0.1582
tamaraw-pc0.010-ps0.0030-w2000000.0,19000,4188.8085,347.9627,3840.8458,12050.7795,2642.0858,9408.6936,0.0000,0.0000,0.0000,1.8769,6.5930,1.4496,0.5355,28.0652,43.0939,0.3755,0.2661
tamaraw-pc0.010-ps0.0030-w4000000.0,19000,4188.8085,347.9627,3840.8458,13492.4385,2979.5908,10512.8477,0.0000,0.0000,0.0000,2.2211,7.5630,1.7371,0.6955,28.0652,47.5847,0.3058,0.2158
tamaraw-pc0.010-ps0.0030-w6000000.0,19000,4188.8085,347.9627,3840.8458,14568.9959,3241.2317,11327.7643,0.0000,0.0000,0.0000,2.4781,8.3149,1.9493,0.7921,28.0652,50.2970,0.2350,0.1892
