dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.005-ps0.0030-w6000000.0,19000,4188.8085,347.9627,3840.8458,17524.1609,6405.0846,11119.0763,0.0022,0.0032,0.0021,3.1836,17.4074,1.8950,7.4456,27.3857,231.2883,0.1839,0.1361
tamaraw-pc0.005-ps0.0035-w2000000.0,19000,4188.8085,347.9627,3840.8458,13360.9916,5031.4486,8329.5430,0.0006,0.0012,0.0005,2.1897,13.4597,1.1687,2.6576,27.6749,101.2236,0.3224,0.2221
tamaraw-pc0.005-ps0.0035-w4000000.0,19000,4188.8085,347.9627,3840.8458,15223.1402,5949.1388,9274.0014,0.0008,0.0014,0.0008,2.6342,16.0971,1.4146,4.2822,27.6325,145.9610,0.1792,0.1708
tamaraw-pc0.005-ps0.0035-w6000000.0,19000,4188.8085,347.9627,3840.8458,16448.5084,6486.0254,9962.4830,0.0011,0.0018,0.0011,2.9268,17.6400,1.5938,5.5814,27.5664,181.4253,0.1255,0.1447
tamaraw-pc0.005-ps0.0040-w2000000.0,19000,4188.8085,347.9627,3840.8458,12618.8331,4963.0991,7655.7340,0.0005,0.0011,0.0005,2.0125,13.2633,0.9932,1.8706,27.6909,79.4901,0.3229,0.2308
tamaraw-pc0.005-ps0.0040-w4000000.0,19000,4188.8085,347.9627,3840.8458,14302.6495,5841.8036,8460.8459,0.0005,0.0011,0.0005,2.4145,15.7886,1.2029,3.1219,27.6897,114.1352,0.2342,0.1234
tamaraw-pc0.005-ps0.0040-w6000000.0,19000,4188.8085,347.9627,3840.8458,15591.3032,6512.0614,9079.2418,0.0006,0.0012,0.0006,2.7221,17.7148,1.3639,4.2619,27.6757,145.6272,0.1466,0.1513
tamaraw-pc0.010-ps0.0015-w2000000.0,19000,4188.8085,347.9627,3840.8458,20050.7277,3949.3751,16101.3527,0.0092,0.0106,0.0091,3.7867,10.3500,3.1921,33.6797,26.6999,925.9445,0.3595,0.1555
tamaraw-pc0.010-ps0.0015-w4000000.0,19000,4188.8085,347.9627,3840.8458,21594.8151,3544.4538,18050.3613,0.0144,0.0167,0.0142,4.1554,9.1863,3.6996,53.6016,26.1945,1430.2590,0.3295,0.1226
tamaraw-pc0.010-ps0.0015-w6000000.0,19000,4188.8085,347.9627,3840.8458,22878.6025,3494.5272,19384.0753,0.0166,0.0193,0.0164,4.4618,9.0428,4.0468,70.0541,25.9761,1845.7084,0.1842,0.1089
tamaraw-pc0.010-ps0.0020-w2000000.0,19000,4188.8085,347.9627,3840.8458,16501.0273,3539.5779,12961.4494,0.0026,0.0035,0.0026,2.9393,9.1723,2.3746,16.9145,27.3778,490.4612,0.3537,0.2076
tamaraw-pc0.010-ps0.0020-w4000000.0,19000,4188.8085,347.9627,3840.8458,18143.4174,3547.1422,14596.2752,0.0059,0.0072,0.0057,3.3314,9.1940,2.8003,24.5655,26.9967,690.1845,0.3350,0.1637
tamaraw-pc0.010-ps0.0020-w6000000.0,19000,4188.8085,347.9627,3840.8458,19345.3670,3627.9241,15717.4429,0.0077,0.0090,0.0075,3.6183,9.4262,3.0922,31.8791,26.7988,881.1205,0.1818,0.1468
tamaraw-pc0.010-ps0.0025-w2000000.0,19000,4188.8085,347.9627,3840.8458,14307.2601,3379.0792,10928.1809,0.0008,0.0014,0.0007,2.4156,8.7110,1.8453,9.4250,27.6507,288.2595,0.3389,0.2171
tamaraw-pc0.010-ps0.0025-w4000000.0,19000,4188.8085,347.9627,3840.8458,15808.7879,3495.0141,12313.7739,0.0023,0.0032,0.0023,2.7741,9.0442,2.2060,11.6890,27.3848,347.4844,0.2366,0.1771
tamaraw-pc0.010-ps0.0025-w6000000.0,19000,4188.8085,347.9627,3840.8458,16875.1657,3594.1328,13281.0329,0.0035,0.0045,0.0034,3.0286,9.3291,2.4578,14.5126,27.2425,422.6017,0.2271,0.1639
tamaraw-pc0.010-ps0.0030-w2000000.0,19000,4188.8085,347.9627,3840.8458,13047.9059,3469.9154,9577.9906,0.0003,0.0008,0.0003,2.1149,8.9721,1.4937,6.4011,27.8133,205.8493,0.3466,0.2695
tamaraw-pc0.010-ps0.0030-w4000000.0,19000,4188.8085,347.9627,3840.8458,14202.8000,3448.2347,10754.5653,0.0010,0.0015,0.0009,2.3907,8.9098,1.8001,7.3832,27.6156,231.5074,0.2224,0.2189
tamaraw-pc0.010-ps0.0030-w6000000.0,19000,4188.8085,347.9627,3840.8458,15235.3318,3626.0324,11609.2994,0.0016,0.0023,0.0015,2.6372,9.4208,2.0226,9.0136,27.5037,275.4122,0.0955,0.1874
tamaraw-pc0.010-ps0.0035-w2000000.0,19000,4188.8085,347.9627,3840.8458,12140.3259,3512.4128,8627.9132,0.0002,0.0004,0.0001,1.8983,9.0942,1.2464,4.7439,27.9379,160.4716,0.2995,0.2818
tamaraw-pc0.010-ps0.0035-w4000000.0,19000,4188.8085,347.9627,3840.8458,13170.0562,3538.4718,9631.5844,0.0004,0.0009,0.0004,2.1441,9.1691,1.5077,5.5399,27.7666,181.5913,0.1821,0.2226
tamaraw-pc0.010-ps0.0035-w6000000.0,19000,4188.8085,347.9627,3840.8458,14043.1584,3666.9514,10376.2071,0.0007,0.0013,0.0007,2.3525,9.5383,1.7015,6.4743,27.6813,206.8983,0.1137,0.1953
tamaraw-pc0.010-ps0.0040-w2000000.0,19000,4188.8085,347.9627,3840.8458,11111.3357,3224.6663,7886.6694,0.0002,0.0004,0.0001,1.6526,8.2673,1.0534,3.0925,27.9373,114.3333,0.2224,0.3039
tamaraw-pc0.010-ps0.0040-w4000000.0,19000,4188.8085,347.9627,3840.8458,12406.3038,3653.9968,8752.3070,0.0002,0.0006,0.0002,1.9618,9.5011,1.2787,4.2184,27.8496,145.3302,0.1853,0.2526
tamaraw-pc0.010-ps0.0040-w6000000.0,19000,4188.8085,347.9627,3840.8458,13147.5662,3747.4919,9400.0742,0.0004,0.0008,0.0003,2.1387,9.7698,1.4474,4.7095,27.7733,158.5719,0.1289,0.2161
tamaraw-pc0.015-ps0.0015-w2000000.0,19000,4188.8085,347.9627,3840.8458,20310.3386,3484.1288,16826.2098,0.0071,0.0081,0.0070,3.8487,9.0129,3.3809,39.3161,26.9419,1086.1919,0.3789,0.1737
tamaraw-pc0.015-ps0.0015-w4000000.0,19000,4188.8085,347.9627,3840.8458,21921.9917,3086.4905,18835.5013,0.0130,0.0150,0.0129,4.2335,7.8702,3.9040,56.5973,26.3468,1517.5048,0.3526,0.1411
tamaraw-pc0.015-ps0.0015-w6000000.0,19000,4188.8085,347.9627,3840.8458,23061.8783,2855.6661,20206.2122,0.0156,0.0181,0.0154,4.5056,7.2068,4.2609,72.1941,26.0816,1909.0213,0.3018,0.1303
tamaraw-pc0.015-ps0.0020-w2000000.0,19000,4188.8085,347.9627,3840.8458,16397.4608,2924.1767,13473.2841,0.0017,0.0023,0.0016,2.9146,7.4037,2.5079,20.7054,27.5480,597.9420,0.3818,0.2200
tamaraw-pc0.015-ps0.0020-w4000000.0,19000,4188.8085,347.9627,3840.8458,18129.2379,2898.0044,15231.2336,0.0049,0.0060,0.0048,3.3280,7.3285,2.9656,27.0268,27.1295,760.3535,0.3118,0.1834
tamaraw-pc0.015-ps0.0020-w6000000.0,19000,4188.8085,347.9627,3840.8458,19242.9579,2859.9263,16383.0316,0.0069,0.0081,0.0068,3.5939,7.2191,3.2655,33.6780,26.8999,932.8343,0.2226,0.1713
tamaraw-pc0.015-ps0.0025-w2000000.0,19000,4188.8085,347.9627,3840.8458,14156.1389,2860.0312,11296.1078,0.0005,0.0009,0.0004,2.3795,7.2194,1.9410,12.1078,27.7690,363.9909,0.3726,0.2584
tamaraw-pc0.015-ps0.0025-w4000000.0,19000,4188.8085,347.9627,3840.8458,15558.9567,2752.9793,12805.9774,0.0017,0.0025,0.0017,2.7144,6.9117,2.3342,13.7976,27.4925,406.8234,0.2608,0.2037
